wave_nm int
200.0 1.3838965267367376e-87
200.60060060060061 1.518170479891548e-86
201.2012012012012 1.6416141946302264e-85
201.80180180180182 1.7496665449695264e-84
202.4024024024024 1.8381168235380276e-83
203.00300300300302 1.903375895774405e-82
203.6036036036036 1.9427175042554078e-81
204.20420420420422 1.954467145671946e-80
204.8048048048048 1.9381202915844094e-79
205.40540540540542 1.8943783234784976e-78
206.006006006006 1.8250986158959784e-77
206.60660660660662 1.7331637175729366e-76
207.2072072072072 1.622282468540454e-75
207.80780780780782 1.4967421670698343e-74
208.4084084084084 1.3611348263548344e-73
209.00900900900902 1.2200817505152699e-72
209.6096096096096 1.077979121009696e-71
210.21021021021022 9.38783397183165e-71
210.8108108108108 8.058497663864624e-70
211.41141141141142 6.818304638518204e-69
212.012012012012 5.686333817117751e-68
212.61261261261262 4.6743576056128366e-67
213.2132132132132 3.7874346709899465e-66
213.81381381381382 3.0248371587450494e-65
214.4144144144144 2.3811813999715646e-64
215.01501501501502 1.847636769616311e-63
215.6156156156156 1.413104711839369e-62
216.21621621621622 1.065284788098852e-61
216.8168168168168 7.915725756167462e-61
217.41741741741743 5.797615193491031e-60
218.018018018018 4.185445260925436e-59
218.61861861861863 2.978294087719605e-58
219.2192192192192 2.0889455760649086e-57
219.81981981981983 1.4441766014177933e-56
220.4204204204204 9.841178660025862e-56
221.02102102102103 6.610092868302619e-55
221.6216216216216 4.376245115699296e-54
222.22222222222223 2.8558102628575496e-53
222.82282282282281 1.836921908419082e-52
223.42342342342343 1.1646238262239222e-51
224.02402402402402 7.278037361452513e-51
224.62462462462463 4.483080358289447e-50
225.22522522522522 2.721901465691191e-49
225.82582582582583 1.6289280742002488e-48
226.42642642642642 9.608709204332967e-48
227.02702702702703 5.58678328424006e-47
227.62762762762762 3.201785495743249e-46
228.22822822822823 1.808657250731862e-45
228.82882882882882 1.0070567566013718e-44
229.42942942942943 5.526946420246525e-44
230.03003003003002 2.989855465013824e-43
230.63063063063063 1.5942218863771516e-42
231.23123123123122 8.378783578847385e-42
231.83183183183183 4.340570472205404e-41
232.43243243243245 2.216390517805935e-40
233.03303303303304 1.1155252069933637e-39
233.63363363363362 5.534088831970257e-39
